player_key,name,gender,issue,detail
men:sackmann:209247,Axel Garcian,men,match_count_sum_mismatch,"sum(level_surface_matches)=124, matches=125"
men:sackmann:209274,Carl Emil Overbeck,men,match_count_sum_mismatch,"sum(surface_matches)=80, matches=81"
men:sackmann:209274,Carl Emil Overbeck,men,match_count_sum_mismatch,"sum(level_surface_matches)=80, matches=81"
men:sackmann:209314,Jan Kupcic,men,match_count_sum_mismatch,"sum(surface_matches)=91, matches=92"
men:sackmann:209314,Jan Kupcic,men,match_count_sum_mismatch,"sum(level_surface_matches)=91, matches=92"
men:sackmann:209337,Luca Castagnola,men,match_count_sum_mismatch,"sum(surface_matches)=186, matches=187"
men:sackmann:209337,Luca Castagnola,men,match_count_sum_mismatch,"sum(level_surface_matches)=186, matches=187"
men:sackmann:209890,Mili Poljicak,men,match_count_sum_mismatch,"sum(surface_matches)=230, matches=231"
men:sackmann:209890,Mili Poljicak,men,match_count_sum_mismatch,"sum(level_surface_matches)=230, matches=231"
men:sackmann:210032,Pierre Antoine Tailleu,men,match_count_sum_mismatch,"sum(surface_matches)=32, matches=33"
men:sackmann:210032,Pierre Antoine Tailleu,men,match_count_sum_mismatch,"sum(level_surface_matches)=32, matches=33"
men:sackmann:210092,Filiberto Fumagalli,men,match_count_sum_mismatch,"sum(surface_matches)=26, matches=27"
men:sackmann:210092,Filiberto Fumagalli,men,match_count_sum_mismatch,"sum(level_surface_matches)=26, matches=27"
men:sackmann:210119,Andrej Nedic,men,match_count_sum_mismatch,"sum(surface_matches)=201, matches=202"
men:sackmann:210119,Andrej Nedic,men,match_count_sum_mismatch,"sum(level_surface_matches)=201, matches=202"
men:sackmann:210174,Matic Dimic ,men,match_count_sum_mismatch,"sum(surface_matches)=46, matches=47"
men:sackmann:210174,Matic Dimic ,men,match_count_sum_mismatch,"sum(level_surface_matches)=46, matches=47"
men:sackmann:210204,Drazen Petrovic,men,match_count_sum_mismatch,"sum(surface_matches)=32, matches=33"
men:sackmann:210204,Drazen Petrovic,men,match_count_sum_mismatch,"sum(level_surface_matches)=32, matches=33"
men:sackmann:210252,Seydina Andre,men,match_count_sum_mismatch,"sum(surface_matches)=140, matches=141"
men:sackmann:210252,Seydina Andre,men,match_count_sum_mismatch,"sum(level_surface_matches)=140, matches=141"
men:sackmann:210285,Sebastian Sorger,men,match_count_sum_mismatch,"sum(surface_matches)=209, matches=210"
men:sackmann:210285,Sebastian Sorger,men,match_count_sum_mismatch,"sum(level_surface_matches)=209, matches=210"
