model,level,surface,matches,accuracy,brier,log_loss,avg_prob_winner,avg_pick_prob
level_only,itf,unknown,94,0.776596,0.168585,0.514544,0.629956,0.684781
level_only,qualifying,clay,376,0.765957,0.249759,0.692669,0.500581,0.510992
level_only,qualifying,grass,73,0.780822,0.250901,0.694971,0.499605,0.513022
level_only,qualifying,hard,262,0.801527,0.249008,0.691152,0.501381,0.511033
sample_aware,atp_wta,clay,6270,0.605582,0.231262,0.653616,0.533242,0.591955
sample_aware,atp_wta,grass,1567,0.596043,0.236306,0.665413,0.529706,0.599466
sample_aware,atp_wta,hard,11810,0.610415,0.23127,0.653663,0.536166,0.600577
sample_aware,challenger,carpet,49,0.55102,0.260152,0.714073,0.500738,0.586528
sample_aware,challenger,clay,20508,0.60274,0.233035,0.658076,0.530338,0.5914
sample_aware,challenger,grass,1037,0.587271,0.241392,0.675836,0.521012,0.587995
sample_aware,challenger,hard,19058,0.607514,0.233571,0.659222,0.528826,0.587709
sample_aware,grand_slam,clay,1971,0.663115,0.218902,0.627341,0.547403,0.592865
sample_aware,grand_slam,grass,1434,0.628312,0.226105,0.642476,0.537476,0.585652
sample_aware,grand_slam,hard,3346,0.653317,0.220696,0.630068,0.544613,0.587865
sample_aware,itf,carpet,2265,0.651214,0.215824,0.620705,0.556689,0.618399
sample_aware,itf,clay,69232,0.655766,0.214664,0.617858,0.557336,0.617079
sample_aware,itf,grass,1310,0.59771,0.22931,0.648166,0.542784,0.613975
sample_aware,itf,hard,86422,0.653375,0.216191,0.621161,0.555592,0.616353
sample_aware,qualifying,clay,376,0.683511,0.23088,0.654526,0.522074,0.542369
sample_aware,qualifying,grass,73,0.561644,0.249064,0.691292,0.501746,0.521271
sample_aware,qualifying,hard,262,0.664122,0.230183,0.653012,0.523027,0.544191
surface_only,atp_wta,clay,6270,0.567783,0.246739,0.688196,0.524714,0.615532
surface_only,atp_wta,grass,1567,0.545629,0.24795,0.688929,0.508642,0.561065
surface_only,atp_wta,hard,11810,0.599238,0.235683,0.663372,0.537045,0.620266
surface_only,challenger,carpet,49,0.530612,0.249994,0.693176,0.503207,0.540433
surface_only,challenger,clay,20508,0.602399,0.2332,0.65824,0.537451,0.61532
surface_only,challenger,grass,1037,0.544841,0.246973,0.687018,0.509488,0.56101
surface_only,challenger,hard,19058,0.596652,0.236541,0.665288,0.532694,0.611274
surface_only,grand_slam,clay,1971,0.621512,0.226776,0.64432,0.547336,0.62485
surface_only,grand_slam,grass,1434,0.58159,0.241889,0.676328,0.514891,0.560814
surface_only,grand_slam,hard,3346,0.625822,0.226289,0.642163,0.548163,0.623159
surface_only,itf,carpet,2265,0.58234,0.24084,0.674262,0.513708,0.545622
surface_only,itf,clay,69232,0.635226,0.222222,0.634525,0.545678,0.603723
surface_only,itf,grass,1310,0.568702,0.245547,0.684048,0.507876,0.54215
surface_only,itf,hard,86422,0.634063,0.222792,0.635737,0.54527,0.605109
surface_only,qualifying,clay,376,0.678191,0.207492,0.603151,0.564273,0.619164
surface_only,qualifying,grass,73,0.534247,0.244936,0.682967,0.51223,0.566795
surface_only,qualifying,hard,262,0.671756,0.207183,0.601844,0.566798,0.625722
