risk_level,gender,name_norm,display_name,player_key,match_count,country,birth_year,hand,height,recommended_canonical_key,all_player_keys,all_match_counts,all_countries,all_birth_years
MEDIUM,women,christina dodaj,Christina Dodaj,women:sackmann:260390,0,AUS,,U,,women:sackmann:266707,women:sackmann:260390 | women:sackmann:266707,women:sackmann:260390=0 | women:sackmann:266707=0,AUS,
MEDIUM,women,christina dodaj,Christina Dodaj,women:sackmann:266707,0,AUS,,U,,women:sackmann:266707,women:sackmann:260390 | women:sackmann:266707,women:sackmann:260390=0 | women:sackmann:266707=0,AUS,
MEDIUM,women,daniela borruel,Daniela Borruel,women:sackmann:260334,0,USA,,U,,women:sackmann:264224,women:sackmann:260334 | women:sackmann:264224,women:sackmann:260334=0 | women:sackmann:264224=0,USA,
MEDIUM,women,daniela borruel,Daniela Borruel,women:sackmann:264224,0,USA,,U,,women:sackmann:264224,women:sackmann:260334 | women:sackmann:264224,women:sackmann:260334=0 | women:sackmann:264224=0,USA,
MEDIUM,women,dasha zhabotina,Dasha Zhabotina,women:sackmann:234508,0,UKR,2005,U,,women:sackmann:266755,women:sackmann:234508 | women:sackmann:266755,women:sackmann:234508=0 | women:sackmann:266755=0,UKR,2005
MEDIUM,women,dasha zhabotina,Dasha Zhabotina,women:sackmann:266755,0,UKR,,U,,women:sackmann:266755,women:sackmann:234508 | women:sackmann:266755,women:sackmann:234508=0 | women:sackmann:266755=0,UKR,2005
MEDIUM,women,defne ursan,Defne Ursan,women:sackmann:239431,0,TUR,2005,U,,women:sackmann:266565,women:sackmann:239431 | women:sackmann:266565,women:sackmann:239431=0 | women:sackmann:266565=0,TUR,2005
MEDIUM,women,defne ursan,Defne Ursan,women:sackmann:266565,0,TUR,,U,,women:sackmann:266565,women:sackmann:239431 | women:sackmann:266565,women:sackmann:239431=0 | women:sackmann:266565=0,TUR,2005
MEDIUM,women,denisa elena plesa,Denisa Elena Plesa,women:sackmann:222576,0,ROU,,U,,women:sackmann:267427,women:sackmann:222576 | women:sackmann:267427,women:sackmann:222576=0 | women:sackmann:267427=0,ROU,
MEDIUM,women,denisa elena plesa,Denisa Elena Plesa,women:sackmann:267427,0,ROU,,U,,women:sackmann:267427,women:sackmann:222576 | women:sackmann:267427,women:sackmann:222576=0 | women:sackmann:267427=0,ROU,
MEDIUM,women,diana maria mihail,Diana Maria Mihail,women:sackmann:215239,0,ROU,2000,R,,women:sackmann:266833,women:sackmann:215239 | women:sackmann:266833,women:sackmann:215239=0 | women:sackmann:266833=0,ROU,2000
MEDIUM,women,diana maria mihail,Diana Maria Mihail,women:sackmann:266833,0,ROU,,U,,women:sackmann:266833,women:sackmann:215239 | women:sackmann:266833,women:sackmann:215239=0 | women:sackmann:266833=0,ROU,2000
MEDIUM,women,emma zheng,Emma Zheng,women:sackmann:259873,0,FRA,2005,U,,women:sackmann:266809,women:sackmann:259873 | women:sackmann:266809,women:sackmann:259873=0 | women:sackmann:266809=0,FRA,2005
MEDIUM,women,emma zheng,Emma Zheng,women:sackmann:266809,0,FRA,,U,,women:sackmann:266809,women:sackmann:259873 | women:sackmann:266809,women:sackmann:259873=0 | women:sackmann:266809=0,FRA,2005
CHECK,women,fitriani sabatini,Fitriani Sabatini,women:sackmann:221189,0,INA,2000,U,,women:sackmann:239429,women:sackmann:221189 | women:sackmann:239429,women:sackmann:221189=0 | women:sackmann:239429=0,INA,2000 | 2001
CHECK,women,fitriani sabatini,Fitriani Sabatini,women:sackmann:239429,0,INA,2001,U,,women:sackmann:239429,women:sackmann:221189 | women:sackmann:239429,women:sackmann:221189=0 | women:sackmann:239429=0,INA,2000 | 2001
MEDIUM,women,florence fedeli,Florence Fedeli,women:sackmann:245081,0,BEL,2003,U,,women:sackmann:266587,women:sackmann:245081 | women:sackmann:266587,women:sackmann:245081=0 | women:sackmann:266587=0,BEL,2003
MEDIUM,women,florence fedeli,Florence Fedeli,women:sackmann:266587,0,BEL,,U,,women:sackmann:266587,women:sackmann:245081 | women:sackmann:266587,women:sackmann:245081=0 | women:sackmann:266587=0,BEL,2003
CHECK,women,forta morina,Forta Morina,women:sackmann:263855,0,KOS,2005,U,,women:sackmann:267944,women:sackmann:263855 | women:sackmann:267944,women:sackmann:263855=0 | women:sackmann:267944=0,KOS | UNK,2005
CHECK,women,forta morina,Forta Morina,women:sackmann:267944,0,UNK,,U,,women:sackmann:267944,women:sackmann:263855 | women:sackmann:267944,women:sackmann:263855=0 | women:sackmann:267944=0,KOS | UNK,2005
MEDIUM,women,franca cecilia di pietro,Franca Cecilia Di Pietro,women:sackmann:265616,0,ITA,,U,,women:sackmann:266665,women:sackmann:265616 | women:sackmann:266665,women:sackmann:265616=0 | women:sackmann:266665=0,ITA,
MEDIUM,women,franca cecilia di pietro,Franca Cecilia Di Pietro,women:sackmann:266665,0,ITA,,U,,women:sackmann:266665,women:sackmann:265616 | women:sackmann:266665,women:sackmann:265616=0 | women:sackmann:266665=0,ITA,
MEDIUM,women,francesca mostallino,Francesca Mostallino,women:sackmann:260780,0,ITA,,U,,women:sackmann:267648,women:sackmann:260780 | women:sackmann:267648,women:sackmann:260780=0 | women:sackmann:267648=0,ITA,
MEDIUM,women,francesca mostallino,Francesca Mostallino,women:sackmann:267648,0,ITA,,U,,women:sackmann:267648,women:sackmann:260780 | women:sackmann:267648,women:sackmann:260780=0 | women:sackmann:267648=0,ITA,
CHECK,women,gabriela de araujo sandrini,Gabriela De Araujo Sandrini,women:sackmann:260923,0,BRA,,U,,women:sackmann:266425,women:sackmann:260923 | women:sackmann:266425,women:sackmann:260923=0 | women:sackmann:266425=0,BRA | ITA,
CHECK,women,gabriela de araujo sandrini,Gabriela De Araujo Sandrini,women:sackmann:266425,0,ITA,,U,,women:sackmann:266425,women:sackmann:260923 | women:sackmann:266425,women:sackmann:260923=0 | women:sackmann:266425=0,BRA | ITA,
CHECK,women,gabriela maria vancea,Gabriela Maria Vancea,women:sackmann:247668,0,ROU,2008,U,,women:sackmann:266492,women:sackmann:247668 | women:sackmann:266492,women:sackmann:247668=0 | women:sackmann:266492=0,ROU,2007 | 2008
CHECK,women,gabriela maria vancea,Gabriela Maria Vancea,women:sackmann:266492,0,ROU,2007,U,,women:sackmann:266492,women:sackmann:247668 | women:sackmann:266492,women:sackmann:247668=0 | women:sackmann:266492=0,ROU,2007 | 2008
MEDIUM,women,gabriela vilar,Gabriela Vilar,women:sackmann:266648,0,USA,,U,,women:sackmann:266661,women:sackmann:266648 | women:sackmann:266661,women:sackmann:266648=0 | women:sackmann:266661=0,USA,
MEDIUM,women,gabriela vilar,Gabriela Vilar,women:sackmann:266661,0,USA,,U,,women:sackmann:266661,women:sackmann:266648 | women:sackmann:266661,women:sackmann:266648=0 | women:sackmann:266661=0,USA,
MEDIUM,women,giulia paterno,Giulia Paterno,women:sackmann:221040,0,ITA,2003,R,,women:sackmann:266659,women:sackmann:221040 | women:sackmann:266659,women:sackmann:221040=0 | women:sackmann:266659=0,ITA,2003
MEDIUM,women,giulia paterno,Giulia Paterno,women:sackmann:266659,0,ITA,,U,,women:sackmann:266659,women:sackmann:221040 | women:sackmann:266659,women:sackmann:221040=0 | women:sackmann:266659=0,ITA,2003
MEDIUM,women,greta nemcsek,Greta Nemcsek,women:sackmann:267257,0,HUN,,U,,women:sackmann:267407,women:sackmann:267257 | women:sackmann:267407,women:sackmann:267257=0 | women:sackmann:267407=0,HUN,
MEDIUM,women,greta nemcsek,Greta Nemcsek,women:sackmann:267407,0,HUN,,U,,women:sackmann:267407,women:sackmann:267257 | women:sackmann:267407,women:sackmann:267257=0 | women:sackmann:267407=0,HUN,
CHECK,women,i wen wan,I Wen Wan,women:sackmann:263642,0,TPE,,U,,women:sackmann:267449,women:sackmann:263642 | women:sackmann:267449,women:sackmann:263642=0 | women:sackmann:267449=0,TPE | TWN,2006
CHECK,women,i wen wan,I Wen Wan,women:sackmann:267449,0,TWN,2006,U,,women:sackmann:267449,women:sackmann:263642 | women:sackmann:267449,women:sackmann:263642=0 | women:sackmann:267449=0,TPE | TWN,2006
MEDIUM,women,india fenieys,India Fenieys,women:sackmann:259750,0,FRA,2005,U,,women:sackmann:266614,women:sackmann:259750 | women:sackmann:266614,women:sackmann:259750=0 | women:sackmann:266614=0,FRA,2005
MEDIUM,women,india fenieys,India Fenieys,women:sackmann:266614,0,FRA,,U,,women:sackmann:266614,women:sackmann:259750 | women:sackmann:266614,women:sackmann:259750=0 | women:sackmann:266614=0,FRA,2005
MEDIUM,women,ioana teodora sava,Ioana Teodora Sava,women:sackmann:260526,0,ROU,,U,,women:sackmann:266532,women:sackmann:260526 | women:sackmann:266532,women:sackmann:260526=0 | women:sackmann:266532=0,ROU,
MEDIUM,women,ioana teodora sava,Ioana Teodora Sava,women:sackmann:266532,0,ROU,,U,,women:sackmann:266532,women:sackmann:260526 | women:sackmann:266532,women:sackmann:260526=0 | women:sackmann:266532=0,ROU,
MEDIUM,women,isabeli andreola,Isabeli Andreola,women:sackmann:261079,0,BRA,,U,,women:sackmann:270242,women:sackmann:261079 | women:sackmann:270242,women:sackmann:261079=0 | women:sackmann:270242=0,BRA,2007
MEDIUM,women,isabeli andreola,Isabeli Andreola,women:sackmann:270242,0,BRA,2007,U,,women:sackmann:270242,women:sackmann:261079 | women:sackmann:270242,women:sackmann:261079=0 | women:sackmann:270242=0,BRA,2007
CHECK,women,jizel matos sequeira fernandes,Jizel Matos Sequeira Fernandes,women:sackmann:221691,0,GBR,2000,U,,women:sackmann:266549,women:sackmann:221691 | women:sackmann:266549,women:sackmann:221691=0 | women:sackmann:266549=0,GBR,2000 | 2001
CHECK,women,jizel matos sequeira fernandes,Jizel Matos Sequeira Fernandes,women:sackmann:266549,0,GBR,2001,U,,women:sackmann:266549,women:sackmann:221691 | women:sackmann:266549,women:sackmann:221691=0 | women:sackmann:266549=0,GBR,2000 | 2001
