risk_level,gender,name_norm,display_name,player_key,match_count,country,birth_year,hand,height,recommended_canonical_key,all_player_keys,all_match_counts,all_countries,all_birth_years
MEDIUM,women,natalia pietras,Natalia Pietras,women:sackmann:266552,0,POL,,U,,women:sackmann:266552,women:sackmann:220526 | women:sackmann:266552,women:sackmann:220526=0 | women:sackmann:266552=0,POL,2000
MEDIUM,women,nisa bulut,Nisa Bulut,women:sackmann:266439,0,TUR,,U,,women:sackmann:266567,women:sackmann:266439 | women:sackmann:266567,women:sackmann:266439=0 | women:sackmann:266567=0,TUR,
MEDIUM,women,nisa bulut,Nisa Bulut,women:sackmann:266567,0,TUR,,U,,women:sackmann:266567,women:sackmann:266439 | women:sackmann:266567,women:sackmann:266439=0 | women:sackmann:266567=0,TUR,
MEDIUM,women,oceanne lopez,Oceanne Lopez,women:sackmann:261023,0,BEL,,U,,women:sackmann:266692,women:sackmann:261023 | women:sackmann:266692,women:sackmann:261023=0 | women:sackmann:266692=0,BEL,
MEDIUM,women,oceanne lopez,Oceanne Lopez,women:sackmann:266692,0,BEL,,U,,women:sackmann:266692,women:sackmann:261023 | women:sackmann:266692,women:sackmann:261023=0 | women:sackmann:266692=0,BEL,
MEDIUM,women,onyu choi,Onyu Choi,women:sackmann:260599,0,KOR,,U,,women:sackmann:266529,women:sackmann:260599 | women:sackmann:266529,women:sackmann:260599=0 | women:sackmann:266529=0,KOR,2007
MEDIUM,women,onyu choi,Onyu Choi,women:sackmann:266529,0,KOR,2007,U,,women:sackmann:266529,women:sackmann:260599 | women:sackmann:266529,women:sackmann:260599=0 | women:sackmann:266529=0,KOR,2007
MEDIUM,women,paola napal villanueva,Paola Napal Villanueva,women:sackmann:264161,0,ESP,,U,,women:sackmann:269724,women:sackmann:264161 | women:sackmann:269724,women:sackmann:264161=0 | women:sackmann:269724=0,ESP,
MEDIUM,women,paola napal villanueva,Paola Napal Villanueva,women:sackmann:269724,0,ESP,,U,,women:sackmann:269724,women:sackmann:264161 | women:sackmann:269724,women:sackmann:264161=0 | women:sackmann:269724=0,ESP,
MEDIUM,women,patricia grigoras,Patricia Grigoras,women:sackmann:260605,0,USA,,U,,women:sackmann:265196,women:sackmann:260605 | women:sackmann:265196,women:sackmann:260605=0 | women:sackmann:265196=0,USA,
