api_player_key,raw_api_player_key,api_name,api_name_source,gender,mapping_status,today_match_count,opponent_name,opponents_today,tournament,event_names,event_type,event_type_types,reason
men:api:38014,38014,Adrian Andreescu Stefan,api_cache_full_name,men,unmapped,1,David Eichenseher,David Eichenseher,M15 Constanta,M15 Constanta,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
men:api:9132,9132,Adrian Boitan Gabi,api_cache_full_name,men,unmapped,1,Razvan Marinescu Mihai,Razvan Marinescu Mihai,M15 Constanta,M15 Constanta,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
women:api:38942,38942,Ailin Larraya Guidi Sol,api_cache_full_name,women,unmapped,1,Marie Vogt,Marie Vogt,W15 Dinard,W15 Dinard,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
men:api:10543,10543,Alexandru Tomescu Dan,api_cache_full_name,men,unmapped,1,Vito Dell'Elba,Vito Dell'Elba,M15 Constanta,M15 Constanta,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
women:api:40156,40156,An Lin Fang,api_cache_full_name,women,unmapped,1,Yuno Kitahara,Yuno Kitahara,W35 Taipei,W35 Taipei,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
women:api:28104,28104,Andreea Herea Carmen,api_cache_full_name,women,unmapped,1,Sofia Rocchetti,Sofia Rocchetti,W35 San Gregorio 4 (Italy),W35 San Gregorio 4 (Italy),Itf Women Singles,Itf Women Singles,no_sackmann_candidate
women:api:173,173,Bianca Bulgaru Miriam,api_cache_full_name,women,unmapped,1,Ane Mintegi Del Olmo,Ane Mintegi Del Olmo,Brescia (Italy) - Qualification,Brescia (Italy) - Qualification,Challenger Women Singles,Challenger Women Singles,no_sackmann_candidate
men:api:92968,92968,Bogdan Petre Stefan Ilie,api_cache_full_name,men,unmapped,1,Robert Guna,Robert Guna,M15 Constanta,M15 Constanta,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
women:api:1053,1053,Camila Torres Murcia Maria,api_cache_full_name,women,unmapped,1,Josefina Estevez,Josefina Estevez,W15 Luque,W15 Luque,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
women:api:30,30,Dalina Amariei Ilinca,api_cache_full_name,women,unmapped,1,Gina Feistel,Gina Feistel,W50 Haskovo (Bulgaria),W50 Haskovo (Bulgaria),Itf Women Singles,Itf Women Singles,no_sackmann_candidate
men:api:63402,63402,David Turcanu Radu,api_cache_full_name,men,unmapped,1,Ruben Hartig,Ruben Hartig,M15 Constanta,M15 Constanta,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
men:api:69090,69090,Dinis Silva Joao,api_cache_full_name,men,unmapped,1,John Echeverria,John Echeverria,M25 Lourinha (Portugal),M25 Lourinha (Portugal),Itf Men Singles,Itf Men Singles,no_sackmann_candidate
men:api:14270,14270,Emanuel Ambrogi Luciano,api_cache_full_name,men,unmapped,1,Ivan Justo Guido,Ivan Justo Guido,Asuncion 2 (Paraguay) - Qualification,Asuncion 2 (Paraguay) - Qualification,Challenger Men Singles,Challenger Men Singles,no_sackmann_candidate
men:api:20568,20568,Emil Overbeck Carl,api_cache_full_name,men,unmapped,1,Alberto Barroso Campos,Alberto Barroso Campos,M25 Lourinha (Portugal),M25 Lourinha (Portugal),Itf Men Singles,Itf Men Singles,no_sackmann_candidate
