priority_rank,priority,api_player_key,api_player_id,api_name,gender,mapping_status,api_source_match_count,example_index,date,tournament,level,surface,round,result_side,opponent_key,opponent_name,opponent_mapped,score,api_event_key,source_file,candidate_action,candidate_count,top_candidates,search_query_hint
1,high_level,men:api:102989,102989,E. Giurescu,men,unmapped,1,1,2026-05-28,French Open,grand_slam,clay,Boys French Open - Semi-finals,loser,men:api:101032,S. Azam,no,2 - 0,12131720,2026-05-28.json,no_candidate,1,,E. Giurescu S. Azam French Open 2026-05-28 2 - 0
1,high_level,men:api:102990,102990,A. Dubreuil,men,unmapped,1,1,2026-05-28,French Open,grand_slam,clay,Boys French Open - Semi-finals,loser,men:api:102991,C. Thies,no,0 - 2,12131721,2026-05-28.json,no_candidate,1,,A. Dubreuil C. Thies French Open 2026-05-28 0 - 2
1,high_level,men:api:102991,102991,C. Thies,men,unmapped,3,1,2026-06-01,French Open,grand_slam,clay,Boys French Open - 1/32-finals,loser,men:api:84807,R. Neimanis,no,2 - 1,12132190,2026-06-01.json,no_candidate,1,,C. Thies R. Neimanis French Open 2026-06-01 2 - 1
1,high_level,men:api:102991,102991,C. Thies,men,unmapped,3,2,2026-05-29,French Open,grand_slam,clay,Boys French Open - Final,winner,men:api:102992,N. Raghuram,no,0 - 2,12131986,2026-05-29.json,no_candidate,1,,C. Thies N. Raghuram French Open 2026-05-29 0 - 2
1,high_level,men:api:102991,102991,C. Thies,men,unmapped,3,3,2026-05-28,French Open,grand_slam,clay,Boys French Open - Semi-finals,winner,men:api:102990,A. Dubreuil,no,0 - 2,12131721,2026-05-28.json,no_candidate,1,,C. Thies A. Dubreuil French Open 2026-05-28 0 - 2
1,high_level,men:api:102992,102992,N. Raghuram,men,unmapped,2,1,2026-05-29,French Open,grand_slam,clay,Boys French Open - Final,loser,men:api:102991,C. Thies,no,0 - 2,12131986,2026-05-29.json,no_candidate,1,,N. Raghuram C. Thies French Open 2026-05-29 0 - 2
1,high_level,men:api:102992,102992,N. Raghuram,men,unmapped,2,2,2026-05-28,French Open,grand_slam,clay,Boys French Open - Semi-finals,winner,men:api:78441,K. Pantaratorn,no,0 - 2,12131726,2026-05-28.json,no_candidate,1,,N. Raghuram K. Pantaratorn French Open 2026-05-28 0 - 2
1,high_level,men:api:1926,1926,A. Popyrin,men,ambiguous,1,1,2026-05-26,French Open,grand_slam,clay,ATP French Open - 1/64-finals,loser,men:api:2986,Z. Svajda,no,1 - 3,12129882,2026-05-26.json,manual_review,2,men:sackmann:200615 | Alexei Popyrin | score=0.975 | manual_review ; men:sackmann:202270 | Anthony Popyrin | score=0.975 | candidate,A. Popyrin Z. Svajda French Open 2026-05-26 1 - 3
1,high_level,men:api:2838,2838,B. Nakashima,men,ambiguous,2,1,2026-05-30,French Open,grand_slam,clay,ATP French Open - 1/16-finals,loser,men:api:2073,F. Auger-Aliassime,no,3 - 1,12132000,2026-05-30.json,manual_review,2,men:sackmann:206909 | Brandon Nakashima | score=0.975 | manual_review ; men:sackmann:210416 | Bryce Nakashima | score=0.975 | candidate,B. Nakashima F. Auger-Aliassime French Open 2026-05-30 3 - 1
1,high_level,men:api:2838,2838,B. Nakashima,men,ambiguous,2,2,2026-05-28,French Open,grand_slam,clay,ATP French Open - 1/32-finals,winner,men:api:1066,L. van Assche,no,2 - 3,12130700,2026-05-28.json,manual_review,2,men:sackmann:206909 | Brandon Nakashima | score=0.975 | manual_review ; men:sackmann:210416 | Bryce Nakashima | score=0.975 | candidate,B. Nakashima L. van Assche French Open 2026-05-28 2 - 3
1,high_level,men:api:53732,53732,A. Blus,men,unmapped,2,1,2026-06-15,Poznan,challenger,clay,Poznan - Semi-finals,loser,men:api:397,N. Gombos,no,2 - 0,12136590,2026-06-15.json,no_candidate,1,,A. Blus N. Gombos Poznan 2026-06-15 2 - 0
1,high_level,men:api:53732,53732,A. Blus,men,unmapped,2,2,2026-05-28,French Open,grand_slam,clay,Boys French Open - Semi-finals,loser,men:api:76358,L. Yunez,no,2 - 0,12131718,2026-05-28.json,no_candidate,1,,A. Blus L. Yunez French Open 2026-05-28 2 - 0
1,high_level,men:api:55858,55858,D. Dedura,men,unmapped,8,1,2026-06-13,Halle,atp_wta,grass,ATP Halle - Semi-finals,loser,men:api:424,N. Basilashvili,no,0 - 2,12136373,2026-06-13.json,no_candidate,1,,D. Dedura N. Basilashvili Halle 2026-06-13 0 - 2
1,high_level,men:api:55858,55858,D. Dedura,men,unmapped,8,2,2026-06-09,Stuttgart,atp_wta,clay,ATP Stuttgart - 1/16-finals,loser,men:api:1900,J. Duckworth,no,0 - 2,12134302,2026-06-09.json,no_candidate,1,,D. Dedura J. Duckworth Stuttgart 2026-06-09 0 - 2
1,high_level,men:api:55858,55858,D. Dedura,men,unmapped,8,3,2026-06-06,Heilbronn,challenger,clay,Heilbronn - Semi-finals,loser,men:api:938,L. Mikrut,no,0 - 2,12134111,2026-06-06.json,no_candidate,1,,D. Dedura L. Mikrut Heilbronn 2026-06-06 0 - 2
