api_player_key,raw_api_player_key,api_name,api_name_source,gender,mapping_status,today_match_count,opponent_name,opponents_today,tournament,event_names,event_type,event_type_types,reason
women:api:13987,13987,Anastasiia Sobolieva,api_cache_full_name,women,unmapped,1,Chloe Paquet,Chloe Paquet,W50 Gdansk (Poland),W50 Gdansk (Poland),Itf Women Singles,Itf Women Singles,no_sackmann_candidate
men:api:40212,40212,Daniel Salazar,api_cache_full_name,men,unmapped,1,Brian Bozemoj,Brian Bozemoj,M15 Kamen,M15 Kamen,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
men:api:22255,22255,Dimitris Azoidis,api_cache_full_name,men,unmapped,1,Keshav Chopra,Keshav Chopra,M15 Kayseri 6,M15 Kayseri 6,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
women:api:13991,13991,Garbiela Vasilescu Arina,api_cache_full_name,women,unmapped,1,Josy Daems,Josy Daems,W15 Kamen,W15 Kamen,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
