api_player_key,raw_api_player_key,api_name,api_name_source,gender,mapping_status,today_match_count,opponent_name,opponents_today,tournament,event_names,event_type,event_type_types,reason
women:api:2576,2576,A. Kucmova,api_cache_short_name,women,unmapped,1,Noemi Basiletti,Noemi Basiletti,W35 Tarvisio,W35 Tarvisio,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
women:api:13987,13987,Anastasiia Sobolieva,api_cache_full_name,women,unmapped,1,Beatrise Zeltina,Beatrise Zeltina,W50 Gdansk (Poland),W50 Gdansk (Poland),Itf Women Singles,Itf Women Singles,no_sackmann_candidate
men:api:40212,40212,Daniel Salazar,api_cache_full_name,men,unmapped,1,Ruben Hartig,Ruben Hartig,M15 Kamen,M15 Kamen,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
men:api:55858,55858,Diego Dedura,api_cache_full_name,men,unmapped,1,Sergio Callejon Hernando,Sergio Callejon Hernando,M25 Bakio,M25 Bakio,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
men:api:22255,22255,Dimitris Azoidis,api_cache_full_name,men,unmapped,1,V. Osminkin,V. Osminkin,M15 Kayseri 6,M15 Kayseri 6,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
men:api:63483,63483,Enzo Kohlmann,api_cache_full_name,men,unmapped,1,Manuel La Serna Juan,Manuel La Serna Juan,Piracicaba,Piracicaba,Challenger Men Singles,Challenger Men Singles,no_sackmann_candidate
men:api:104378,104378,F. Bullamah,api_cache_short_name,men,missing_mapping_entry,1,Wilson Leite,Wilson Leite,Piracicaba,Piracicaba,Challenger Men Singles,Challenger Men Singles,no_sackmann_candidate
women:api:104425,104425,F. Willemse,api_cache_short_name,women,unmapped,1,Dune Vaissaud,Dune Vaissaud,W15 Alkmaar,W15 Alkmaar,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
men:api:104447,104447,G. Delattre,api_cache_short_name,men,unmapped,1,Hans Rehberg Max,Hans Rehberg Max,M25 Brussels,M25 Brussels,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
women:api:13991,13991,Garbiela Vasilescu Arina,api_cache_full_name,women,unmapped,1,Sonja Zhenikhova,Sonja Zhenikhova,W15 Kamen,W15 Kamen,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
women:api:1807,1807,Georgiana Serban Raluca,api_cache_full_name,women,unmapped,1,Gina Feistel,Gina Feistel,W50 Gdansk (Poland),W50 Gdansk (Poland),Itf Women Singles,Itf Women Singles,no_sackmann_candidate
men:api:53987,53987,Hiroki Sakagawa,api_cache_full_name,men,missing_mapping_entry,1,Aidan Kim,Aidan Kim,M15 Claremont (Usa),M15 Claremont (Usa),Itf Men Singles,Itf Men Singles,no_sackmann_candidate
men:api:1856,1856,Lorenzo Claverie,api_cache_full_name,men,missing_mapping_entry,1,Maxwell Exsted,Maxwell Exsted,M15 Claremont (Usa),M15 Claremont (Usa),Itf Men Singles,Itf Men Singles,no_sackmann_candidate
women:api:32144,32144,N. Senic,api_cache_short_name,women,missing_mapping_entry,1,Valeria Garnevska,Valeria Garnevska,W15 Kursumlijska Banja 6,W15 Kursumlijska Banja 6,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
men:api:82785,82785,Nicolas Robert,api_cache_full_name,men,unmapped,1,Jonas Eriksson Ziverts,Jonas Eriksson Ziverts,M15 Monastir 24,M15 Monastir 24,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
men:api:12848,12848,Sander Jong,api_cache_full_name,men,missing_mapping_entry,1,Manvydas Balciunas,Manvydas Balciunas,M15 Alkmaar,M15 Alkmaar,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
men:api:104429,104429,T. Hammes,api_cache_short_name,men,unmapped,1,Vincent Marysko,Vincent Marysko,M15 Kamen,M15 Kamen,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
women:api:40904,40904,T. Lemaitre,api_cache_short_name,women,unmapped,1,H. Shi,H. Shi,W50 Palma del Rio,W50 Palma del Rio,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
