api_player_key,raw_api_player_key,api_name,gender,mapping_status,today_match_count,opponents_today,event_names,event_type_types,best_candidate_key,best_candidate_name,score,margin,method,suggested_override_json
men:api:69090,69090,J. D. Silva,men,unmapped,1,T. Silva,M25 Lourinha (Portugal),Itf Men Singles,,,,,,
women:api:13078,13078,J. Gimbrere,women,missing_mapping_entry,1,A. Hesse,W75 Blois,Itf Women Singles,,,,,,
men:api:10017,10017,J. M. La Serna,men,unmapped,1,I. Monzon,Asuncion 2 (Paraguay) - Qualification,Challenger Men Singles,,,,,,
men:api:902,902,J. Mensik,men,ambiguous,1,A. Mannarino,London,Atp Singles,men:sackmann:210084,Jakub Mensik,0.999,,exact_normalized,"{""men:api:902"": ""men:sackmann:210084""}"
men:api:89202,89202,J. O. Lien,men,unmapped,1,C. Mueller,M15 Saarlouis,Itf Men Singles,,,,,,
men:api:2408,2408,J. Reis Da Silva,men,unmapped,1,M. Karol,Poznan,Challenger Men Singles,,,,,,
women:api:2281,2281,J. Riera,women,missing_mapping_entry,1,M. Lollia,W75 Blois,Itf Women Singles,,,,,,
men:api:67656,67656,J. Ross,men,missing_mapping_entry,1,R. Pascual Ferra,M15 Monastir 23,Itf Men Singles,,,,,,
men:api:2853,2853,J.J. Wolf,men,missing_mapping_entry,1,A. Nefve,"M25 Tulsa, OK",Itf Men Singles,,,,,,
women:api:90503,90503,K. Chiarello,women,missing_mapping_entry,1,D. Martynov,W75 Blois,Itf Women Singles,,,,,,
women:api:514,514,K. Mladenovic,women,missing_mapping_entry,1,V. Ryser,Figueira Da Foz (Portugal) - Qualification,Challenger Women Singles,,,,,,
men:api:72487,72487,L. Berto,men,missing_mapping_entry,1,L. Parenti,M25 Milano (Italy),Itf Men Singles,,,,,,
women:api:89412,89412,L. De Ezcurra,women,missing_mapping_entry,1,M. Ciocan,W15 Dinard,Itf Women Singles,,,,,,
men:api:14270,14270,L. E. Ambrogi,men,unmapped,1,S. Heredia,Asuncion 2 (Paraguay) - Qualification,Challenger Men Singles,,,,,,
women:api:11486,11486,L. F. Britez Risso,women,missing_mapping_entry,1,V. Lopez Ocampos,W15 Luque,Itf Women Singles,,,,,,
women:api:1356,1356,L. Fernandez,women,missing_mapping_entry,1,L. Rabl,W35 Mohammedia,Itf Women Singles,,,,,,
men:api:70968,70968,L. Garcia Paez,men,missing_mapping_entry,1,O. J. Gutierrez,M15 Mungia-Laukariz,Itf Men Singles,,,,,,
men:api:14085,14085,L. J. Rodriguez,men,unmapped,1,E. Ribeiro,Asuncion 2 (Paraguay) - Qualification,Challenger Men Singles,,,,,,
women:api:63493,63493,L. M. Cinalli,women,unmapped,1,C. A. Herea,W35 San Gregorio 4 (Italy),Itf Women Singles,,,,,,
women:api:103894,103894,L. M. Oprescu,women,missing_mapping_entry,1,A. Iankovskaia,W35+H Tauste,Itf Women Singles,,,,,,
