api_player_key,raw_api_player_key,api_name,api_name_source,gender,mapping_status,today_match_count,opponent_name,opponents_today,tournament,event_names,event_type,event_type_types,reason
women:api:13987,13987,Anastasiia Sobolieva,api_cache_full_name,women,unmapped,1,Xiyu Wang,Xiyu Wang,Brescia (Italy) - Qualification,Brescia (Italy) - Qualification,Challenger Women Singles,Challenger Women Singles,no_sackmann_candidate
women:api:2828,2828,Irina-Camelia Begu,api_cache_full_name,women,missing_mapping_entry,1,Tamara Korpatsch,Tamara Korpatsch,Bad Homburg,Bad Homburg,Wta Singles,Wta Singles,no_sackmann_candidate
women:api:53046,53046,Lilli Tagger,api_cache_full_name,women,missing_mapping_entry,1,Anastasia Zakharova,Anastasia Zakharova,Eastbourne,Eastbourne,Wta Singles,Wta Singles,no_sackmann_candidate
men:api:14638,14638,Nikita Mashtakov,api_cache_full_name,men,unmapped,1,Dimitar Kuzmanov,Dimitar Kuzmanov,M25 Samobor (Croatia),M25 Samobor (Croatia),Itf Men Singles,Itf Men Singles,no_sackmann_candidate
