api_player_key,raw_api_player_key,api_name,api_name_source,gender,mapping_status,today_match_count,opponent_name,opponents_today,tournament,event_names,event_type,event_type_types,reason
women:api:53624,53624,Samantha Imbo Nloga,api_cache_full_name,women,missing_mapping_entry,1,Darya Velikova,Darya Velikova,W15 Kursumlijska Banja 7,W15 Kursumlijska Banja 7,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
men:api:10295,10295,Sanhui Shin,api_cache_full_name,men,unmapped,1,Kosuke Ogura,Kosuke Ogura,M15 Tokyo 3 (Japan),M15 Tokyo 3 (Japan),Itf Men Singles,Itf Men Singles,no_sackmann_candidate
women:api:65411,65411,Seda Baslilar,api_cache_full_name,women,missing_mapping_entry,1,Nellie Taraba Wallberg,Nellie Taraba Wallberg,W35 Amstelveen,W35 Amstelveen,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
women:api:3216,3216,Serena Williams,api_cache_full_name,women,missing_mapping_entry,1,Maya Joint,Maya Joint,Wimbledon,Wimbledon,Wta Singles,Wta Singles,no_sackmann_candidate
women:api:16091,16091,Sophia Biolay,api_cache_full_name,women,missing_mapping_entry,1,Camilla Gennaro,Camilla Gennaro,W35 Aix-Les-Bains (France),W35 Aix-Les-Bains (France),Itf Women Singles,Itf Women Singles,no_sackmann_candidate
men:api:2168,2168,Stan Wawrinka,api_cache_full_name,men,missing_mapping_entry,1,Matteo Berrettini,Matteo Berrettini,Wimbledon,Wimbledon,Atp Singles,Atp Singles,no_sackmann_candidate
men:api:63481,63481,Ty Host,api_cache_full_name,men,missing_mapping_entry,1,Romain Faucon,Romain Faucon,M15 Hillcrest,M15 Hillcrest,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
women:api:101051,101051,Valentina Khrebtova,api_cache_full_name,women,missing_mapping_entry,1,Ksenia Smirnova,Ksenia Smirnova,W15 Hillcrest,W15 Hillcrest,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
women:api:1116,1116,Valeria Savinykh,api_cache_full_name,women,missing_mapping_entry,1,Veronika Podrez,Veronika Podrez,W50 Elvas (Portugal),W50 Elvas (Portugal),Itf Women Singles,Itf Women Singles,no_sackmann_candidate
men:api:104736,104736,W. De Waal,api_cache_short_name,men,missing_mapping_entry,1,Preston Brown,Preston Brown,M15 Hillcrest,M15 Hillcrest,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
women:api:38969,38969,Youngsuh Lee Carol,api_cache_full_name,women,unmapped,1,Viktoria Morvayova,Viktoria Morvayova,W50 Elvas (Portugal),W50 Elvas (Portugal),Itf Women Singles,Itf Women Singles,no_sackmann_candidate
men:api:104633,104633,Z. Vanderstappen,api_cache_short_name,men,missing_mapping_entry,1,Harold Huens,Harold Huens,M25 Nivelles (Belgium),M25 Nivelles (Belgium),Itf Men Singles,Itf Men Singles,no_sackmann_candidate
women:api:38107,38107,Zijun Jiang,api_cache_full_name,women,missing_mapping_entry,1,Meiling Wang,Meiling Wang,W15 Maanshan 4,W15 Maanshan 4,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
women:api:53286,53286,l. P. Alberto M. d.,api_cache_short_name,women,missing_mapping_entry,1,Shannon Lam,Shannon Lam,W15 Getxo,W15 Getxo,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
