api_player_key,raw_api_player_key,api_name,api_name_source,gender,mapping_status,today_match_count,opponent_name,opponents_today,tournament,event_names,event_type,event_type_types,reason
women:api:101857,101857,A. Ishii,api_cache_short_name,women,missing_mapping_entry,1,Ayumi Miyamoto,Ayumi Miyamoto,W15 Sapporo 2,W15 Sapporo 2,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
women:api:89625,89625,A. Kostina,api_cache_short_name,women,missing_mapping_entry,1,M. Specht,M. Specht,W15 Kamen,W15 Kamen,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
women:api:84071,84071,A. Kostova,api_cache_short_name,women,missing_mapping_entry,1,Gala Ivanovic,Gala Ivanovic,W15 Kursumlijska Banja 6,W15 Kursumlijska Banja 6,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
women:api:104445,104445,A. M. Mitu,api_cache_short_name,women,missing_mapping_entry,1,I. Boian,I. Boian,W15 Galati,W15 Galati,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
women:api:78942,78942,A. Watanabe,api_cache_short_name,women,missing_mapping_entry,1,S. Y. Choi,S. Y. Choi,W15 Sapporo 2,W15 Sapporo 2,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
men:api:58548,58548,Aaron Gil Garcia,api_cache_full_name,men,missing_mapping_entry,1,Giannicola Misasi,Giannicola Misasi,M15 Kursumlijska Banja 6,M15 Kursumlijska Banja 6,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
women:api:13074,13074,Adithya Karunaratne,api_cache_full_name,women,missing_mapping_entry,1,Nina Radovanovic,Nina Radovanovic,W15 Kursumlijska Banja 6,W15 Kursumlijska Banja 6,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
men:api:63836,63836,Alaa Trifi,api_cache_full_name,men,missing_mapping_entry,1,Jackson Ross,Jackson Ross,M15 Monastir 24,M15 Monastir 24,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
men:api:68379,68379,Alessandro Battiston,api_cache_full_name,men,missing_mapping_entry,1,Lucio Ratti,Lucio Ratti,M15 Slovenska Bistrica,M15 Slovenska Bistrica,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
women:api:70150,70150,Alessia Popescu,api_cache_full_name,women,missing_mapping_entry,1,O. Panasa,O. Panasa,W15 Kursumlijska Banja 6,W15 Kursumlijska Banja 6,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
