api_player_key,raw_api_player_key,api_name,api_name_source,gender,mapping_status,today_match_count,opponent_name,opponents_today,tournament,event_names,event_type,event_type_types,reason
women:api:104273,104273,A. Colic,api_cache_short_name,women,missing_mapping_entry,1,G. Djurickovic,G. Djurickovic,W15 Kursumlijska Banja 6,W15 Kursumlijska Banja 6,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
women:api:92058,92058,A. Donnell,api_cache_short_name,women,missing_mapping_entry,1,Eva Lopez,Eva Lopez,W15 Monastir 19,W15 Monastir 19,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
men:api:10859,10859,Alessio Basile,api_cache_full_name,men,missing_mapping_entry,1,Robert Strombachs,Robert Strombachs,M25 Brussels,M25 Brussels,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
women:api:21360,21360,Amelie Van Impe,api_cache_full_name,women,missing_mapping_entry,1,Anastasiya Kuparev,Anastasiya Kuparev,W15 Alkmaar,W15 Alkmaar,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
women:api:218,218,Anna Siskova,api_cache_full_name,women,missing_mapping_entry,1,Darja Semenistaja,Darja Semenistaja,Wimbledon,Wimbledon,Wta Singles,Wta Singles,no_sackmann_candidate
women:api:508,508,Arantxa Rus,api_cache_full_name,women,missing_mapping_entry,1,Veronika Podrez,Veronika Podrez,Wimbledon,Wimbledon,Wta Singles,Wta Singles,no_sackmann_candidate
men:api:1759,1759,Arthur Fils,api_cache_full_name,men,missing_mapping_entry,1,Jakub Mensik,Jakub Mensik,Exhibition Boodles Challenge,Exhibition Boodles Challenge,Exhibition Men,Exhibition Men,no_sackmann_candidate
men:api:2216,2216,Arvid Nordquist,api_cache_full_name,men,missing_mapping_entry,1,Xiaoyin Yang,Xiaoyin Yang,M15 Wuning 3,M15 Wuning 3,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
women:api:85028,85028,C. Hermanns,api_cache_short_name,women,missing_mapping_entry,1,Ksenia Laskutova,Ksenia Laskutova,W15 Kayseri 6,W15 Kayseri 6,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
women:api:27382,27382,C. Romero,api_cache_short_name,women,missing_mapping_entry,1,Isabella Barrera Aguirre,Isabella Barrera Aguirre,W15 Asuncion,W15 Asuncion,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
women:api:95478,95478,C. Y. Chen,api_cache_short_name,women,unmapped,1,Yi Tsao Chia,Yi Tsao Chia,W35 Taipei 2,W35 Taipei 2,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
women:api:39110,39110,Carmen Zamburek Ana,api_cache_full_name,women,missing_mapping_entry,1,Fernanda Herazo Gonzalez Maria,Fernanda Herazo Gonzalez Maria,W15 Asuncion,W15 Asuncion,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
women:api:32551,32551,Christasha McNeil,api_cache_full_name,women,missing_mapping_entry,1,Bella Payne,Bella Payne,W35 Rome,W35 Rome,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
men:api:27347,27347,Darrshan Suresh,api_cache_full_name,men,missing_mapping_entry,1,Oscar Weightman,Oscar Weightman,M25 Bakio,M25 Bakio,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
men:api:13796,13796,Dorian Tremblay,api_cache_full_name,men,missing_mapping_entry,1,N. Oliynykov,N. Oliynykov,M25 Zagreb (Croatia),M25 Zagreb (Croatia),Itf Men Singles,Itf Men Singles,no_sackmann_candidate
men:api:39929,39929,Elgin Khoeblal,api_cache_full_name,men,missing_mapping_entry,1,Abel Forger,Abel Forger,M15 Alkmaar,M15 Alkmaar,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
men:api:39675,39675,Elmer Moller,api_cache_full_name,men,missing_mapping_entry,1,Luca Potenza,Luca Potenza,Targu Mures,Targu Mures,Challenger Men Singles,Challenger Men Singles,no_sackmann_candidate
women:api:13500,13500,Elza Tomase,api_cache_full_name,women,missing_mapping_entry,1,Mina Hodzic,Mina Hodzic,W50 Gdansk (Poland),W50 Gdansk (Poland),Itf Women Singles,Itf Women Singles,no_sackmann_candidate
men:api:63483,63483,Enzo Kohlmann,api_cache_full_name,men,unmapped,1,Manuel La Serna Juan,Manuel La Serna Juan,Piracicaba,Piracicaba,Challenger Men Singles,Challenger Men Singles,no_sackmann_candidate
