api_player_key,api_name,gender,api_matches,status,best_score,best_method,best_sackmann_key,best_sackmann_name,second_score_margin,api_name_sources,api_levels,api_surfaces
women:api:13991,Garbiela Vasilescu Arina,women,3,unmapped,0.0,no_candidate,,,,"{""api_cache_full_name"": 3}","{""itf"": 3}","{""clay"": 3}"
women:api:14205,Qyinlomo Quadre Barakat,women,2,ambiguous,0.918091,near_token_set_typo,women:sackmann:220736,Barakat Oyinlomo Quadre,0.918091,"{""api_cache_full_name"": 2}","{""itf"": 2}","{""hard"": 2}"
women:api:15341,Amy Stevens,women,3,ambiguous,0.971792,exact_initial_form,women:sackmann:264278,Alice Stevens,0.001099,"{""api_cache_full_name"": 3}","{""itf"": 3}","{""clay"": 3}"
women:api:17,Francesca Dell'Edera,women,4,unmapped,0.780682,fuzzy,women:sackmann:214974,Francesca Delledera,0.780682,"{""api_cache_full_name"": 4}","{""challenger"": 1, ""itf"": 3}","{""clay"": 1, ""hard"": 3}"
women:api:1807,Georgiana Serban Raluca,women,3,unmapped,0.0,no_candidate,,,,"{""api_cache_full_name"": 3}","{""itf"": 2, ""qualifying"": 1}","{""clay"": 3}"
women:api:1812,Xinyu Wang,women,3,ambiguous,0.975198,exact_initial_form,women:sackmann:216016,Xiyu Wang,0.003812,"{""api_cache_full_name"": 3}","{""atp_wta"": 2, ""grand_slam"": 1}","{""clay"": 2, ""grass"": 1}"
women:api:20381,Kateryna Diatlova,women,5,unmapped,0.0,no_candidate,,,,"{""api_cache_full_name"": 5}","{""itf"": 5}","{""hard"": 5}"
women:api:2115,Ginevra Parentini,women,4,unmapped,0.0,no_candidate,,,,"{""api_cache_full_name"": 4}","{""itf"": 4}","{""clay"": 4}"
women:api:2270,Akilah James,women,2,ambiguous,0.971609,exact_initial_form,women:sackmann:263710,Alexandra James,0.000916,"{""api_cache_full_name"": 2}","{""grand_slam"": 2}","{""clay"": 2}"
women:api:2576,A. Kucmova,women,2,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 2}","{""itf"": 2}","{""clay"": 2}"
women:api:2578,Tara Wuerth,women,1,unmapped,0.78067,fuzzy,women:sackmann:223087,Tara Wurth,0.78067,"{""api_cache_full_name"": 1}","{""itf"": 1}","{""clay"": 1}"
women:api:30904,T. Hermanova,women,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""grand_slam"": 1}","{""clay"": 1}"
women:api:32283,S. H. Jang,women,1,ambiguous,0.939899,initial_surname,women:sackmann:260122,Soo Ha Jang,0.012282,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""hard"": 1}"
women:api:37163,V. N. Sarganella,women,3,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 3}","{""itf"": 3}","{""clay"": 3}"
women:api:38938,Maria Mikhaylova,women,4,unmapped,0.769745,fuzzy,women:sackmann:223153,Maria Mikhailova,0.769745,"{""api_cache_full_name"": 4}","{""itf"": 4}","{""clay"": 4}"
women:api:38969,Youngsuh Lee Carol,women,1,unmapped,0.0,no_candidate,,,,"{""api_cache_full_name"": 1}","{""atp_wta"": 1}","{""grass"": 1}"
women:api:38983,A. Melnikova,women,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""hard"": 1}"
women:api:40904,T. Lemaitre,women,3,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 3}","{""itf"": 2, ""qualifying"": 1}","{""hard"": 3}"
women:api:4112,Y. Kim,women,1,ambiguous,0.974727,exact_initial_form,women:sackmann:264973,Yujin Kim,0.002329,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""hard"": 1}"
women:api:4802,Caroline Werner,women,1,unmapped,0.0,no_candidate,,,,"{""api_cache_full_name"": 1}","{""itf"": 1}","{""clay"": 1}"
women:api:57751,A. Roots,women,1,ambiguous,0.973951,exact_initial_form,women:sackmann:222918,Andrea Roots,0.003258,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""hard"": 1}"
women:api:6514,A. Walker,women,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""hard"": 1}"
women:api:71661,K. Zajickova,women,3,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 3}","{""grand_slam"": 3}","{""clay"": 3}"
women:api:71935,Alice Ferlito Faticanti,women,1,unmapped,0.0,no_candidate,,,,"{""api_cache_full_name"": 1}","{""itf"": 1}","{""clay"": 1}"
women:api:7486,Sarah Saito,women,5,ambiguous,0.975209,exact_initial_form,women:sackmann:260170,Sara Saito,0.004516,"{""api_cache_full_name"": 5}","{""itf"": 4, ""qualifying"": 1}","{""hard"": 5}"
women:api:8237,Kaur Thandi Karman,women,1,unmapped,0.0,no_candidate,,,,"{""api_cache_full_name"": 1}","{""itf"": 1}","{""hard"": 1}"
women:api:84316,Y. Zhytelna,women,2,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 2}","{""itf"": 2}","{""hard"": 2}"
women:api:87042,Kamper Malmkjaer Emma,women,2,unmapped,0.0,no_candidate,,,,"{""api_cache_full_name"": 2}","{""itf"": 2}","{""clay"": 2}"
women:api:89210,R. Yoshida,women,3,ambiguous,0.970693,exact_initial_form,women:sackmann:267680,Riyo Yoshida,0.0,"{""api_cache_short_name"": 3}","{""grand_slam"": 1, ""itf"": 2}","{""clay"": 1, ""hard"": 2}"
women:api:89986,A. Kostiushkina,women,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""hard"": 1}"
women:api:92499,A. Ivanovskaya,women,2,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 2}","{""itf"": 2}","{""hard"": 2}"
women:api:92934,Eduarda Carbone Maria,women,4,unmapped,0.0,no_candidate,,,,"{""api_cache_full_name"": 4}","{""itf"": 3, ""qualifying"": 1}","{""clay"": 1, ""hard"": 3}"
women:api:93192,A. Kyselova,women,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""clay"": 1}"
women:api:93255,D. Teodoro Souza,women,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""hard"": 1}"
women:api:95215,A. Malova,women,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""grand_slam"": 1}","{""clay"": 1}"
women:api:95478,C. Y. Chen,women,1,unmapped,0.0,no_candidate,,,,"{""api_cache_short_name"": 1}","{""itf"": 1}","{""hard"": 1}"
