api_player_key,raw_api_player_key,api_name,api_name_source,gender,mapping_status,today_match_count,opponent_name,opponents_today,tournament,event_names,event_type,event_type_types,reason
women:api:13987,13987,Anastasiia Sobolieva,api_cache_full_name,women,unmapped,1,Ane Mintegi Del Olmo,Ane Mintegi Del Olmo,Brescia (Italy) - Qualification,Brescia (Italy) - Qualification,Challenger Women Singles,Challenger Women Singles,no_sackmann_candidate
women:api:64792,64792,D. El Jardi,api_cache_short_name,women,missing_mapping_entry,1,Daria Egorova,Daria Egorova,W35 Mohammedia,W35 Mohammedia,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
men:api:53471,53471,N. Zamora,api_cache_short_name,men,missing_mapping_entry,1,Strong Kirchheimer,Strong Kirchheimer,"M15 Irvine, CA","M15 Irvine, CA",Itf Men Singles,Itf Men Singles,no_sackmann_candidate
men:api:14638,14638,Nikita Mashtakov,api_cache_full_name,men,unmapped,1,Nicolas Jadoun,Nicolas Jadoun,M25 Samobor (Croatia),M25 Samobor (Croatia),Itf Men Singles,Itf Men Singles,no_sackmann_candidate
