api_player_key,raw_api_player_key,api_name,api_name_source,gender,mapping_status,today_match_count,opponent_name,opponents_today,tournament,event_names,event_type,event_type_types,candidate_count,candidate_margin,candidate_ambiguity,candidate_1_key,candidate_1_name,candidate_1_score,candidate_1_method,candidate_1_matches,candidate_2_key,candidate_2_name,candidate_2_score,candidate_2_method,candidate_2_matches,candidate_3_key,candidate_3_name,candidate_3_score,candidate_3_method,candidate_3_matches,best_candidate_key,best_candidate_name,score,margin,method,suggested_override_json,accept_candidate_rank,manual_sackmann_key,reject,review_note
men:api:2188,2188,Arklon Huertas Del Pino Cordova,api_cache_full_name,men,unmapped,1,Breno Braga,Breno Braga,Piracicaba,Piracicaba,Challenger Men Singles,Challenger Men Singles,1,,false,men:sackmann:207736,Arklon Huertas Del Pino,0.792015,fuzzy,107,,,,,,,,,,,men:sackmann:207736,Arklon Huertas Del Pino,0.792015,,fuzzy,"{""men:api:2188"": ""men:sackmann:207736""}",,,,
men:api:100794,100794,Nikita Belozertsev,api_cache_full_name,men,unmapped,1,Anas Mazdrashki,Anas Mazdrashki,Plovdiv (Bulgaria) - Qualification,Plovdiv (Bulgaria) - Qualification,Challenger Men Singles,Challenger Men Singles,1,,false,men:sackmann:212756,Nikita Bilozertsev,0.773829,fuzzy,45,,,,,,,,,,,men:sackmann:212756,Nikita Bilozertsev,0.773829,,fuzzy,"{""men:api:100794"": ""men:sackmann:212756""}",,,,
women:api:1812,1812,Xinyu Wang,api_cache_full_name,women,ambiguous,1,Iva Jovic,Iva Jovic,Bad Homburg,Bad Homburg,Wta Singles,Wta Singles,6,0.003807,true,women:sackmann:216016,Xiyu Wang,0.975193,exact_initial_form,179,women:sackmann:264050,Xinyi Wang,0.971386,exact_initial_form,3,women:sackmann:270213,Xiaotong Wang,0.971386,exact_initial_form,3,women:sackmann:216016,Xiyu Wang,0.975193,0.003807,exact_initial_form,,,,,
