confidence,api_match_id,api_event_key,date,gender,api_level,api_surface,api_tourney_name,api_winner,api_loser,sackmann_match_id,sackmann_level,sackmann_surface,sackmann_tourney_name,sackmann_winner,sackmann_loser,match_key
medium,api_tennis:12132541,12132541,2026-06-01,men,qualifying,hard,Centurion 2 (South Africa) - Qualification,O. Weightman,K. Chopra,sackmann:men:2026-3089:350:208267:208844,challenger,hard,Centurion 2 CH,Oscar Weightman,Keshav Chopra,men|2026-06-01|weightman|chopra
medium,api_tennis:12132542,12132542,2026-06-01,men,qualifying,hard,Centurion 2 (South Africa) - Qualification,O. Kimhi,M. Van Der Merwe,sackmann:men:2026-3089:349:210039:213010,challenger,hard,Centurion 2 CH,Orel Kimhi,Marc Van Der Merwe,men|2026-06-01|kimhi|merwe
medium,api_tennis:12132543,12132543,2026-06-01,men,qualifying,hard,Centurion 2 (South Africa) - Qualification,G. Dalmasso,P. Buldorini,sackmann:men:2026-3089:351:211409:210683,challenger,hard,Centurion 2 CH,Guillaume Dalmasso ,Peter Buldorini,men|2026-06-01|dalmasso|buldorini
medium,api_tennis:12132544,12132544,2026-06-01,women,challenger,grass,Birmingham,M. Sawangkaew,L. Klimovicova,sackmann:women:2026-1126:283:216566:221626,challenger,grass,Birmingham 125,Mananchaya Sawangkaew,Linda Klimovicova,women|2026-06-01|sawangkaew|klimovicova
low,api_tennis:12132547,12132547,2026-06-01,women,challenger,clay,Foggia (Italy),T. Pieri,V. Bosio,sackmann:women:2026-2077:275:214301:206345,challenger,clay,Bari 125,Tatiana Pieri,Victoria Bosio,women|2026-06-01|pieri|bosio
low,api_tennis:12132548,12132548,2026-06-01,women,challenger,clay,Foggia (Italy),L. Pigato,E. Yaneva,sackmann:women:2026-2077:270:221354:260664,challenger,clay,Bari 125,Lisa Pigato,Elizara Yaneva,women|2026-06-01|pigato|yaneva
low,api_tennis:12132549,12132549,2026-06-01,women,challenger,clay,Foggia (Italy),D. Astakhova,X. Gao,sackmann:women:2026-2077:271:221178:214386,challenger,clay,Bari 125,Darya Astakhova,Xinyu Gao,women|2026-06-01|astakhova|gao
low,api_tennis:12132550,12132550,2026-06-01,women,challenger,clay,Foggia (Italy),S. Costoulas,S. Sakellaridi,sackmann:women:2026-2077:274:223321:220364,challenger,clay,Bari 125,Sofia Costoulas,Sapfo Sakellaridi,women|2026-06-01|costoulas|sakellaridi
low,api_tennis:12132551,12132551,2026-06-01,women,challenger,clay,Foggia (Italy),V. Lepchenko,I. Shymanovich,sackmann:women:2026-2077:277:201478:213576,challenger,clay,Bari 125,Varvara Lepchenko,Iryna Shymanovich,women|2026-06-01|lepchenko|shymanovich
medium,api_tennis:12132590,12132590,2026-06-01,men,itf,clay,M25 Caltanissetta (Italy),R. Izquierdo Luque,L. Beraldo,sackmann:men:2026-M-ITF-ITA-2026-023:114:202258:211516,itf,clay,M25 Caltanissetta,Rafael Izquierdo Luque,Lorenzo Beraldo,men|2026-06-01|luque|beraldo
