api_player_key,api_raw_player_key,api_name,gender,mapping_status,today_match_count,opponents_today,event_names,event_type_types,best_candidate_key,best_candidate_name,score,margin,method,suggested_override_json
women:api:29831,29831,Jamaica W,women,missing_mapping_entry,1,Trinidad & Tobago W,Billie Jean King Cup - Group III Teams,Teams Women,,,,,,
men:api:94818,94818,Johnson/ Zielinski,men,missing_mapping_entry,1,Lehecka/ Mensik,London,Atp Doubles,,,,,,
women:api:103833,103833,Jurak Schreiber/ Ruzic,women,missing_mapping_entry,1,Dart/ Lumsden,Nottingham,Wta Doubles,,,,,,
women:api:42049,42049,Kato/ Ninomiya,women,missing_mapping_entry,1,Maleckova/ Skoch,Nottingham,Wta Doubles,,,,,,
women:api:13791,13791,Kyrgyzstan W,women,missing_mapping_entry,1,Pacific Oceania W,Billie Jean King Cup - Group II,Teams Women,,,,,,
women:api:2394,2394,L. Fernandez,women,ambiguous,1,J. Tjen,Nottingham,Wta Singles,women:sackmann:220367,Leylah Fernandez,0.975338,,exact_initial_form,"{""women:api:2394"": ""women:sackmann:220367""}"
men:api:15252,15252,L. Malgaroli,men,missing_mapping_entry,1,I. Radulov,"M25 Milano (Italy), Clay",Itf Men - Singles,,,,,,
women:api:68376,68376,L. Samsonova,women,ambiguous,1,E. Mertens,Berlin,Wta Singles,women:sackmann:214643,Liudmila Samsonova,0.975215,,exact_initial_form,"{""women:api:68376"": ""women:sackmann:214643""}"
women:api:1815,1815,L. Sun,women,ambiguous,1,A. Kalinina,Berlin,Wta Singles,women:sackmann:215138,Lulu Sun,0.975242,,exact_initial_form,"{""women:api:1815"": ""women:sackmann:215138""}"
women:api:451,451,L. Zhu,women,ambiguous,1,S. Kraus,Berlin,Wta Singles,women:sackmann:202684,Lin Zhu,0.97497,,exact_initial_form,"{""women:api:451"": ""women:sackmann:202684""}"
women:api:30750,30750,Laos W,women,missing_mapping_entry,1,Malaysia W,Billie Jean King Cup - Group II,Teams Women,,,,,,
men:api:78429,78429,Lehecka/ Mensik,men,missing_mapping_entry,1,Johnson/ Zielinski,London,Atp Doubles,,,,,,
women:api:12869,12869,M. Timofeeva,women,ambiguous,1,R. Zarazua,Berlin,Wta Singles,women:sackmann:221237,Maria Timofeeva,0.975226,,exact_initial_form,"{""women:api:12869"": ""women:sackmann:221237""}"
