api_player_key,api_name,gender,mapping_status,api_matches_in_source,levels,surfaces,sample_tournaments
men:api:54471,M. Mikovic,men,ambiguous,4,"{""itf"": 4}","{""clay"": 4}","{""M15 Kranjska Gora (Slovenia)"": 2, ""M15 Ljubljana"": 2}"
women:api:37889,Mushika Mao,women,unmapped,4,"{""itf"": 3, ""qualifying"": 1}","{""hard"": 4}","{""W15 Tokyo"": 3, ""W15 Fukui"": 1}"
men:api:95164,O. Majdandzic,men,unmapped,4,"{""grand_slam"": 4}","{""clay"": 4}","{""French Open"": 4}"
men:api:10508,P. A. Saraiva Dos Santos,men,ambiguous,4,"{""challenger"": 1, ""itf"": 2, ""qualifying"": 1}","{""clay"": 4}","{""M15 Brasilia"": 3, ""Kosice"": 1}"
men:api:840,S. Popovic,men,ambiguous,4,"{""itf"": 3, ""qualifying"": 1}","{""clay"": 4}","{""M25 Kursumlijska Banja"": 3, ""M15 Kursumlijska Banja 3"": 1}"
women:api:7486,S. Saito,women,ambiguous,4,"{""itf"": 3, ""qualifying"": 1}","{""hard"": 4}","{""W100 Wuning (China)"": 4}"
men:api:10295,S. Shin,men,unmapped,4,"{""itf"": 3, ""qualifying"": 1}","{""hard"": 4}","{""M15 Gimcheon 2"": 4}"
women:api:54661,S. Ye,women,ambiguous,4,"{""grand_slam"": 3, ""itf"": 1}","{""clay"": 3, ""hard"": 1}","{""French Open"": 3, ""W100 Wuning (China)"": 1}"
men:api:78983,T. Behrmann,men,unmapped,4,"{""grand_slam"": 4}","{""clay"": 4}","{""French Open"": 4}"
men:api:851,T. Compagnucci,men,ambiguous,4,"{""challenger"": 4}","{""clay"": 4}","{""Vicenza"": 2, ""Parma"": 2}"
women:api:463,Xiy. Wang,women,ambiguous,4,"{""grand_slam"": 3, ""qualifying"": 1}","{""clay"": 4}","{""French Open"": 3, ""Modena (Italy) - Qualification"": 1}"
men:api:83228,A. Aiukhanov,men,ambiguous,3,"{""itf"": 3}","{""clay"": 3}","{""M15 Tsaghkadzor 2"": 2, ""M15 Tsaghkadzor"": 1}"
women:api:20694,A. Brune,women,unmapped,3,"{""itf"": 3}","{""clay"": 3}","{""W15 Ontinyent (Spain)"": 2, ""W15 Oliva (Spain)"": 1}"
women:api:13538,A. Chanta,women,ambiguous,3,"{""itf"": 2, ""qualifying"": 1}","{""hard"": 3}","{""W100 Wuning (China)"": 3}"
men:api:31252,A. F. Alhogbani,men,ambiguous,3,"{""itf"": 2, ""qualifying"": 1}","{""hard"": 3}","{""M15 Kayseri 2"": 3}"
women:api:14547,A. Korneeva,women,ambiguous,3,"{""challenger"": 1, ""grand_slam"": 2}","{""clay"": 2, ""grass"": 1}","{""French Open"": 2, ""Ilkley"": 1}"
women:api:123,A. S. Sanchez,women,ambiguous,3,"{""itf"": 3}","{""hard"": 3}","{""W50 Guimaraes"": 2, ""W100 Sumter"": 1}"
men:api:662,B. Kuzuhara,men,ambiguous,3,"{""challenger"": 2, ""itf"": 1}","{""hard"": 3}","{""Tyler"": 2, ""M25 Wichita, KS"": 1}"
men:api:58219,C. E. Tufekci,men,unmapped,3,"{""itf"": 3}","{""hard"": 3}","{""M15 Kayseri 2"": 2, ""M15 Kayseri 3"": 1}"
women:api:73111,C. Rodero,women,ambiguous,3,"{""itf"": 3}","{""clay"": 3}","{""W15 Ontinyent (Spain)"": 2, ""W15 Oliva (Spain)"": 1}"
men:api:102991,C. Thies,men,unmapped,3,"{""grand_slam"": 3}","{""clay"": 3}","{""French Open"": 3}"
men:api:37909,D. Petrovic,men,ambiguous,3,"{""itf"": 3}","{""clay"": 3}","{""M25 Kiseljak"": 2, ""M25 Bol 2"": 1}"
men:api:74446,D. Shirokyi,men,unmapped,3,"{""itf"": 3}","{""clay"": 3}","{""M25 Kursumlijska Banja"": 2, ""M15 Kursumlijska Banja 4"": 1}"
women:api:1151,G. Ruse,women,unmapped,3,"{""atp_wta"": 2, ""qualifying"": 1}","{""grass"": 3}","{""Hertogenbosch"": 3}"
men:api:2516,J. Nicod,men,ambiguous,3,"{""challenger"": 1, ""itf"": 2}","{""clay"": 3}","{""M25 Bol 2"": 1, ""Prostejov"": 1, ""M25 Ceska Lipa"": 1}"
women:api:63420,J. Zhang,women,ambiguous,3,"{""itf"": 3}","{""hard"": 3}","{""W100 Wuning (China)"": 2, ""W35 Wuning 2 (China)"": 1}"
men:api:55113,K. K. Lee,men,ambiguous,3,"{""itf"": 3}","{""hard"": 3}","{""M15 Los Angeles, CA"": 2, ""M15 Lakewood, CA"": 1}"
women:api:71661,K. Zajickova,women,unmapped,3,"{""grand_slam"": 3}","{""clay"": 3}","{""French Open"": 3}"
women:api:38234,Kim Eunchae,women,unmapped,3,"{""itf"": 2, ""qualifying"": 1}","{""hard"": 3}","{""W15 Fukui"": 3}"
women:api:451,L. Zhu,women,ambiguous,3,"{""atp_wta"": 3}","{""clay"": 1, ""grass"": 2}","{""Hertogenbosch"": 2, ""Berlin"": 1}"
men:api:14087,M. Jones,men,ambiguous,3,"{""itf"": 3}","{""hard"": 3}","{""M15 Lakewood, CA"": 1, ""M15 Lakewood, CA 2"": 1, ""M15 Los Angeles, CA"": 1}"
women:api:23806,M. L. Oliveira,women,ambiguous,3,"{""itf"": 3}","{""clay"": 1, ""hard"": 2}","{""W15 Brasilia (Brazil)"": 2, ""W35 Cuiaba"": 1}"
men:api:40129,O. Poulsen Brostrom,men,unmapped,3,"{""itf"": 3}","{""clay"": 3}","{""M25 Grado (Italy)"": 2, ""M25 Varnamo"": 1}"
men:api:1872,Pe. Tsitsipas,men,ambiguous,3,"{""itf"": 3}","{""clay"": 1, ""hard"": 2}","{""M15 Vaasa"": 2, ""M25 Caltanissetta (Italy)"": 1}"
women:api:37270,R. Zhang,women,ambiguous,3,"{""grand_slam"": 2, ""itf"": 1}","{""clay"": 3}","{""French Open"": 2, ""W35 San Gregorio 3 (Italy)"": 1}"
men:api:101032,S. Azam,men,unmapped,3,"{""grand_slam"": 3}","{""clay"": 3}","{""French Open"": 3}"
women:api:38259,S. Ewing,women,ambiguous,3,"{""itf"": 3}","{""hard"": 3}","{""W15 Los Angeles, CA"": 2, ""W35 Wichita, KS"": 1}"
women:api:70300,S. Y. Cheuk,women,unmapped,3,"{""itf"": 2, ""qualifying"": 1}","{""hard"": 3}","{""W15 Fukui"": 3}"
men:api:40127,Sun Qian,men,unmapped,3,"{""itf"": 3}","{""hard"": 3}","{""M15 Luan 3"": 2, ""M15 Luan 2"": 1}"
men:api:95473,T. Rosenkranz-Konig,men,unmapped,3,"{""itf"": 3}","{""clay"": 3}","{""M15 Brcko"": 1, ""M15 Szentendre"": 1, ""M15 Nyiregyhaza"": 1}"
men:api:61033,T. Trufelli,men,ambiguous,3,"{""grand_slam"": 1, ""itf"": 2}","{""clay"": 3}","{""M25 Carnac"": 1, ""French Open"": 1, ""M15 Nyiregyhaza"": 1}"
women:api:5722,W. Zheng,women,ambiguous,3,"{""itf"": 3}","{""hard"": 3}","{""W50 Wuning"": 2, ""W35 Wuning 2 (China)"": 1}"
women:api:22317,X. T. Wang,women,ambiguous,3,"{""itf"": 2, ""qualifying"": 1}","{""hard"": 3}","{""W35 Wichita, KS"": 3}"
women:api:80294,Y. J. Lin,women,ambiguous,3,"{""grand_slam"": 3}","{""clay"": 3}","{""French Open"": 3}"
men:api:32066,Y. Jeong,men,ambiguous,3,"{""itf"": 2, ""qualifying"": 1}","{""hard"": 3}","{""M15 Gimcheon 2"": 3}"
women:api:1023,Y. Y. Yang,women,ambiguous,3,"{""itf"": 3}","{""hard"": 3}","{""W100 Wuning (China)"": 2, ""W50 Wuning"": 1}"
men:api:2481,A. Ayeni,men,unmapped,2,"{""challenger"": 2}","{""clay"": 2}","{""Prostejov"": 2}"
men:api:53732,A. Blus,men,unmapped,2,"{""challenger"": 1, ""grand_slam"": 1}","{""clay"": 2}","{""French Open"": 1, ""Poznan"": 1}"
women:api:7125,A. Gupta,women,ambiguous,2,"{""itf"": 2}","{""clay"": 2}","{""W15 Casablanca"": 2}"
women:api:2270,A. James,women,ambiguous,2,"{""grand_slam"": 2}","{""clay"": 2}","{""French Open"": 2}"
women:api:17346,A. Smith,women,ambiguous,2,"{""itf"": 1, ""qualifying"": 1}","{""hard"": 2}","{""W100 Sumter"": 1, ""Figueira Da Foz (Portugal) - Qualification"": 1}"
women:api:13987,A. Sobolieva,women,unmapped,2,"{""itf"": 2}","{""clay"": 2}","{""W75 Ceska Lipa"": 2}"
men:api:103737,A. Tiutchenko,men,unmapped,2,"{""itf"": 2}","{""clay"": 2}","{""M15 Nyiregyhaza"": 2}"
men:api:2838,B. Nakashima,men,ambiguous,2,"{""grand_slam"": 2}","{""clay"": 2}","{""French Open"": 2}"
men:api:76298,B. Seleznev,men,unmapped,2,"{""itf"": 2}","{""hard"": 2}","{""M15 Kayseri 3"": 1, ""M15 Kayseri 4"": 1}"
men:api:13283,C. Bittoun,men,unmapped,2,"{""qualifying"": 2}","{""hard"": 2}","{""Centurion (South Africa) - Qualification"": 1, ""Centurion 2 (South Africa) - Qualification"": 1}"
men:api:10849,C. H. van Schalkwyk,men,ambiguous,2,"{""qualifying"": 2}","{""hard"": 2}","{""Centurion (South Africa) - Qualification"": 1, ""Centurion 2 (South Africa) - Qualification"": 1}"
men:api:421,C. O'Connell,men,unmapped,2,"{""challenger"": 2}","{""grass"": 2}","{""Birmingham"": 1, ""Ilkley"": 1}"
women:api:33851,Cam. Markus,women,ambiguous,2,"{""itf"": 2}","{""clay"": 1, ""hard"": 1}","{""W15 Brasilia (Brazil)"": 1, ""W35 Cuiaba"": 1}"
men:api:83534,Cho Seung Woo,men,unmapped,2,"{""itf"": 2}","{""hard"": 2}","{""M15 Gimcheon 2"": 2}"
women:api:122,D. Marcinkevica,women,ambiguous,2,"{""itf"": 2}","{""clay"": 1, ""hard"": 1}","{""W15 Oliva (Spain)"": 1, ""W50 Guimaraes"": 1}"
men:api:17463,Dar. Blanch,men,ambiguous,2,"{""challenger"": 1, ""qualifying"": 1}","{""grass"": 2}","{""Ilkley"": 2}"
women:api:10924,E. Jones,women,ambiguous,2,"{""challenger"": 2}","{""grass"": 2}","{""Birmingham"": 1, ""Ilkley"": 1}"
women:api:26931,E. Lee,women,ambiguous,2,"{""itf"": 2}","{""hard"": 2}","{""W50 Wuning"": 1, ""W100 Wuning (China)"": 1}"
